Category: All categories

Region,term deposit: (1/1/04 - 2/7/24)
Utah,100
New York,69
California,61
Virginia,61
Arkansas,
Nevada,
Kansas,
Mississippi,
New Jersey,61
Delaware,
Hawaii,
Alabama,53
Idaho,
Oklahoma,
Louisiana,53
Nebraska,
South Carolina,53
South Dakota,
Georgia,46
Montana,
Kentucky,46
New Mexico,
Texas,46
Alaska,
North Carolina,46
Arizona,46
Massachusetts,46
Oregon,46
Indiana,46
Tennessee,46
Florida,46
Missouri,46
Michigan,46
Wyoming,
Washington,46
Pennsylvania,46
Connecticut,46
District of Columbia,
Ohio,38
Maryland,38
Iowa,
Illinois,38
Rhode Island,
New Hampshire,
Colorado,38
West Virginia,
Wisconsin,38
Minnesota,38
Maine,
North Dakota,
Vermont,
