Category: All categories

Month,term deposit: (United States)
2004-01,24
2004-02,36
2004-03,0
2004-04,0
2004-05,0
2004-06,13
2004-07,0
2004-08,0
2004-09,0
2004-10,14
2004-11,24
2004-12,0
2005-01,0
2005-02,16
2005-03,0
2005-04,48
2005-05,23
2005-06,31
2005-07,20
2005-08,28
2005-09,15
2005-10,40
2005-11,0
2005-12,14
2006-01,0
2006-02,9
2006-03,8
2006-04,15
2006-05,11
2006-06,0
2006-07,25
2006-08,13
2006-09,16
2006-10,5
2006-11,18
2006-12,9
2007-01,10
2007-02,11
2007-03,15
2007-04,13
2007-05,13
2007-06,10
2007-07,16
2007-08,21
2007-09,13
2007-10,8
2007-11,15
2007-12,0
2008-01,21
2008-02,10
2008-03,16
2008-04,19
2008-05,16
2008-06,39
2008-07,22
2008-08,23
2008-09,10
2008-10,18
2008-11,25
2008-12,20
2009-01,19
2009-02,23
2009-03,19
2009-04,24
2009-05,20
2009-06,32
2009-07,19
2009-08,13
2009-09,19
2009-10,24
2009-11,13
2009-12,22
2010-01,22
2010-02,19
2010-03,17
2010-04,18
2010-05,21
2010-06,20
2010-07,20
2010-08,19
2010-09,16
2010-10,18
2010-11,23
2010-12,21
2011-01,20
2011-02,18
2011-03,23
2011-04,16
2011-05,25
2011-06,16
2011-07,14
2011-08,19
2011-09,21
2011-10,16
2011-11,16
2011-12,13
2012-01,32
2012-02,21
2012-03,22
2012-04,25
2012-05,19
2012-06,19
2012-07,22
2012-08,19
2012-09,28
2012-10,22
2012-11,23
2012-12,20
2013-01,23
2013-02,22
2013-03,23
2013-04,28
2013-05,25
2013-06,21
2013-07,19
2013-08,21
2013-09,27
2013-10,23
2013-11,22
2013-12,23
2014-01,18
2014-02,18
2014-03,24
2014-04,30
2014-05,28
2014-06,28
2014-07,21
2014-08,21
2014-09,28
2014-10,26
2014-11,28
2014-12,32
2015-01,20
2015-02,27
2015-03,30
2015-04,31
2015-05,26
2015-06,25
2015-07,21
2015-08,23
2015-09,26
2015-10,29
2015-11,30
2015-12,27
2016-01,29
2016-02,37
2016-03,31
2016-04,39
2016-05,35
2016-06,35
2016-07,27
2016-08,29
2016-09,22
2016-10,29
2016-11,31
2016-12,29
2017-01,33
2017-02,46
2017-03,41
2017-04,46
2017-05,37
2017-06,33
2017-07,44
2017-08,26
2017-09,61
2017-10,72
2017-11,42
2017-12,30
2018-01,24
2018-02,35
2018-03,36
2018-04,36
2018-05,32
2018-06,24
2018-07,25
2018-08,22
2018-09,30
2018-10,33
2018-11,33
2018-12,30
2019-01,29
2019-02,32
2019-03,28
2019-04,38
2019-05,33
2019-06,27
2019-07,27
2019-08,23
2019-09,34
2019-10,35
2019-11,32
2019-12,32
2020-01,38
2020-02,45
2020-03,42
2020-04,47
2020-05,44
2020-06,41
2020-07,43
2020-08,32
2020-09,48
2020-10,53
2020-11,43
2020-12,42
2021-01,43
2021-02,47
2021-03,46
2021-04,50
2021-05,40
2021-06,29
2021-07,29
2021-08,29
2021-09,42
2021-10,49
2021-11,42
2021-12,35
2022-01,38
2022-02,57
2022-03,53
2022-04,56
2022-05,62
2022-06,46
2022-07,44
2022-08,40
2022-09,61
2022-10,69
2022-11,61
2022-12,52
2023-01,54
2023-02,67
2023-03,63
2023-04,71
2023-05,63
2023-06,48
2023-07,45
2023-08,44
2023-09,61
2023-10,73
2023-11,69
2023-12,62
2024-01,58
2024-02,100
